scenario_id,pair,sample_size,spearman_rho,kendall_tau,status,reason,var_x,var_y,unique_count_x,unique_count_y,verification_status
S2,DHI_B vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,3.0814879110195774e-33,1.232595164407831e-32,1,1,VERIFIED_EXACT
S2,DHI_C vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,1.232595164407831e-32,1.232595164407831e-32,1,1,VERIFIED_EXACT
S3,DHI_A vs DHI_B,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,3.0814879110195774e-33,1,1,VERIFIED_EXACT
S3,DHI_A vs DHI_C,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,3.0814879110195774e-33,1,1,VERIFIED_EXACT
S3,DHI_A vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,0.0,1,1,VERIFIED_EXACT
S3,DHI_B vs DHI_C,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,3.0814879110195774e-33,3.0814879110195774e-33,1,1,VERIFIED_EXACT
S3,DHI_B vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,3.0814879110195774e-33,0.0,1,1,VERIFIED_EXACT
S3,DHI_C vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,3.0814879110195774e-33,0.0,1,1,VERIFIED_EXACT
S4,DHI_A vs DHI_B,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,4.930380657631324e-32,1.232595164407831e-32,1,1,VERIFIED_EXACT
S4,DHI_A vs DHI_C,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,4.930380657631324e-32,1.232595164407831e-32,1,1,VERIFIED_EXACT
S4,DHI_A vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,4.930380657631324e-32,1.232595164407831e-32,1,1,VERIFIED_EXACT
S4,DHI_B vs DHI_C,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,1.232595164407831e-32,1.232595164407831e-32,1,1,VERIFIED_EXACT
S4,DHI_B vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,1.232595164407831e-32,1.232595164407831e-32,1,1,VERIFIED_EXACT
S4,DHI_C vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,1.232595164407831e-32,1.232595164407831e-32,1,1,VERIFIED_EXACT
S5,DHI_A vs DHI_B,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,0.0,1,1,VERIFIED_EXACT
S5,DHI_A vs DHI_C,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,4.930380657631324e-32,1,1,VERIFIED_EXACT
S5,DHI_A vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,1.1093356479670479e-31,1,1,VERIFIED_EXACT
S5,DHI_B vs DHI_C,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,4.930380657631324e-32,1,1,VERIFIED_EXACT
S5,DHI_B vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,1.1093356479670479e-31,1,1,VERIFIED_EXACT
S5,DHI_C vs DHI_D,158,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,4.930380657631324e-32,1.1093356479670479e-31,1,1,VERIFIED_EXACT
